Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current_Date_Time
Data Analyst,Remote Nationwide,$0 / ,Contractor,"https://www.ziprecruiter.com/c/eTeam-Inc/Job/Data-Analyst/-in-Remote,US?jid=6b45f67207ba682d",eTeam Inc,2024-01-31T08:00:00Z,remote,6b45f67207ba682d,2024-02-01T12:36:32Z
Sr. Project Analyst,Newport Beach,$49 - $51 / hr,Contractor,"https://www.ziprecruiter.com/c/DB-HEALTHCARE-INC/Job/Sr.-Project-Analyst/-in-Newport-Beach,CA?jid=b8f38f3e28c5baf6",DB HEALTHCARE INC,2023-12-12T15:27:50Z,remote,b8f38f3e28c5baf6,2024-02-01T12:36:32Z
Data Analyst/Business Analyst (MOVEit),Minneapolis,$35 - $45 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Data-Analyst-Business-Analyst-(MOVEit)/-in-Minneapolis,MN?jid=0d14528708ae2047",TEKsystems,2024-01-25T16:41:43Z,,0d14528708ae2047,2024-02-01T12:36:32Z
QuickSight Data Analyst,Franklin Lakes,$0 / ,Contractor,"https://www.ziprecruiter.com/c/RIT-Solutions/Job/QuickSight-Data-Analyst/-in-Franklin-Lakes,NJ?jid=303a25ca547123ca",RIT Solutions,2024-01-31T08:00:00Z,,303a25ca547123ca,2024-02-01T12:36:32Z
Data Analyst,Fremont,$50 - $55 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Data-Analyst/-in-Fremont,CA?jid=b7805bc4ae425006",TEKsystems,2024-01-19T03:07:09Z,,b7805bc4ae425006,2024-02-01T12:36:32Z
REMOTE - Data Analyst,Remote,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Platinum-Resource-Group/Job/REMOTE-Data-Analyst/-in-Remote,OR?jid=8630e34d6771d89a",Platinum Resource Group,2024-01-23T08:00:00Z,remote,8630e34d6771d89a,2024-02-01T12:36:32Z
IT DATA ANALYST,Iselin,$18 - $20 / hr,Contractor,"https://www.ziprecruiter.com/c/Pyramid-Consulting/Job/IT-DATA-ANALYST/-in-Iselin,NJ?jid=ceecb21f79464706",Pyramid Consulting,2023-07-10T07:00:00Z,,ceecb21f79464706,2024-02-01T12:36:32Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-02-01T12:36:32Z
Data Analyst I,Culver City,$34 - $39 / hr,Contractor,"https://www.ziprecruiter.com/c/MindSource/Job/Data-Analyst-I/-in-Culver-City,CA?jid=0baf84afe56be08b",MindSource,2024-01-11T08:00:00Z,remote,0baf84afe56be08b,2024-02-01T12:36:32Z
Data Analyst,San Francisco,$60 - $63 / hr,Contractor,"https://www.ziprecruiter.com/c/Laboratory-Technician-|-St.-Cloud-Shines/Job/Data-Analyst/-in-San-Francisco,CA?jid=6b706d3c3fcd5c9f",Laboratory Technician | St. Cloud Shines,2023-09-01T07:00:00Z,remote,6b706d3c3fcd5c9f,2024-02-01T12:36:32Z
